codice;prezzo_eur_iva_esclusa;stato;origine;categoria;prodotto;variante;note
CO10;42,10;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;coperture;CO10;CO10 - COPRIDRAGLIA LIFELINES NETTUNO MARINE EQUIPMENT;
CO11;78,70;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;coperture;CO11;CO11 - CO11;
PE01;;da_definire;;personalizzazioni;Teli di prolunga;Codici variabili secondo modello;Prezzo non trovato nei listini forniti.
PE01-001;127,87;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Chic 3 archi - Anteriore;
PE01-002;119,43;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Chic 3 archi - Laterale;
PE01-003;127,87;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Chic 3 archi - Posteriore;
PE01-004;108,36;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Elegance/Sport 3 archi - Anteriore;
PE01-005;108,36;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Elegance/Sport 3 archi - Laterale;
PE01-006;108,36;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Elegance/Sport 3 archi - Posteriore;
PE01-007;108,36;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Jolly/Universal - Anteriore;
PE01-008;108,36;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Jolly/Universal - Laterale;
PE01-009;247,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Prestige - Anteriore;
PE01-010;231,48;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Prestige - Laterale;
PE01-011;247,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Prestige - Posteriore;
PE01-012;209,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Royal/Look Up 3 archi - Anteriore;
PE01-013;192,54;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Royal/Look Up 3 archi - Laterale;
PE01-014;209,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Royal/Look Up 3 archi - Posteriore;
PE01-015;247,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Royal/Look Up 4 archi - Anteriore;
PE01-016;231,48;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Royal/Look Up 4 archi - Laterale;
PE01-017;247,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Royal/Look Up 4 archi - Posteriore;
PE01-018;164,51;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Elegance/Sport/Chic 4 archi - Anteriore;
PE01-019;154,67;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Elegance/Sport/Chic 4 archi - Laterale;
PE01-020;164,51;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Elegance/Sport/Chic 4 archi - Posteriore;
PE01-021;247,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Roll bar con tendalino - Anteriore;
PE01-022;231,48;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Roll bar con tendalino - Laterale anteriore;
PE01-023;187,62;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Superior - Laterale posteriore;
PE01-024;247,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Superior - Posteriore;
PE01-025;298,36;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Exclusive/Majestic - Anteriore;
PE01-026;298,36;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Exclusive/Majestic - Posteriore;
PE01-027;281,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Exclusive/Majestic - Laterale anteriore;
PE01-028;209,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Strange - Anteriore;
PE01-029;192,54;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Strange - Laterale;
PE01-030;209,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Strange - Posteriore;
PE01-038;187,62;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Epic - Laterale posteriore;
PE01-039;247,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Epic - Posteriore;
PE01-040;247,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Epic/Wave - Anteriore;
PE01-041;231,48;prezzo_definitivo;NETTUNO Price List 2025.pdf p.22;personalizzazioni;Teli di prolunga;Epic/Wave - Laterale anteriore;
PE02-001;59,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.23;personalizzazioni;LED waterproof;Applicazione LED waterproof;
PE02-005;40,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.23;personalizzazioni;LED waterproof;Strip LED 100 cm;
PE02-006;64,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.23;personalizzazioni;LED waterproof;Strip LED 150 cm;
PE03-001;51,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.23;personalizzazioni;Cerniere su bordo;Prua, poppa, lato destro o lato sinistro;
PE03-002;51,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.23;personalizzazioni;Cerniere sotto archi;Applicazione cerniera sotto archi;
PE04-001;119,40;prezzo_definitivo;NETTUNO Price List 2025.pdf p.23;personalizzazioni;Applicazione luce 360 gradi;Applicazione luce 360 gradi;
PE06-001;60,90;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;personalizzazioni;Stampa personalizzata;Stampa personalizzata;
PE07-001;31,70;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;personalizzazioni;Taglio roll bar;Taglio barra centrale roll bar;
PE08-001;;su_richiesta;Indicazione commerciale confermata;personalizzazioni;Applicazione pannello solare;Con cerniera;Prezzo su richiesta: dipende dalle dimensioni e dal modello di pannello.
PE08-002;;su_richiesta;Indicazione commerciale confermata;personalizzazioni;Applicazione pannello solare;Con bottoni Tenax;Prezzo su richiesta: dipende dalle dimensioni e dal modello di pannello.
RB01-C02;1471,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Roll Bar per barche e gommoni;A 130-250 cm, B 120 cm;
RB01-D02;1471,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Roll Bar per barche e gommoni;A 130 cm;
RB01-F01;1471,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Roll Bar per barche e gommoni;A 150 cm;
RB02-D01;1471,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Roll Bar per gommoni;A 90-200 cm;
RB03-C03E;486,82;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Universal;"RB03-C03E - larghezza 170 cm (67"")";
RB03-C04E;501,28;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Universal;"RB03-C04E - larghezza 185 cm (73"")";
RB03-C06E;518,15;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Universal;"RB03-C06E - larghezza 200 cm (79"")";
RB03-C07E;532,61;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Universal;"RB03-C07E - larghezza 215 cm (85"")";
RB04-C03N;2785,95;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-C03N - larghezza 170 cm (67"") - altezza 120 cm";
RB04-C04N;2824,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-C04N - larghezza 185 cm (73"") - altezza 120 cm";
RB04-C06N;2865,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-C06N - larghezza 200 cm (79"") - altezza 120 cm";
RB04-C07N;2904,85;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-C07N - larghezza 215 cm (85"") - altezza 120 cm";
RB04-C08N;2945,85;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-C08N - larghezza 230 cm (91"") - altezza 120 cm";
RB04-C09N;2984,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-C09N - larghezza 245 cm (96"") - altezza 120 cm";
RB04-D03N;2785,95;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-D03N - larghezza 170 cm (67"") - altezza 130 cm";
RB04-D04N;2824,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-D04N - larghezza 185 cm (73"") - altezza 130 cm";
RB04-D06N;2865,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-D06N - larghezza 200 cm (79"") - altezza 130 cm";
RB04-D07N;2904,85;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-D07N - larghezza 215 cm (85"") - altezza 130 cm";
RB04-D08N;2945,85;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-D08N - larghezza 230 cm (91"") - altezza 130 cm";
RB04-D09N;2984,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-D09N - larghezza 245 cm (96"") - altezza 130 cm";
RB04-F01N;2785,95;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-F01N - larghezza 170 cm (67"") - altezza 150 cm";
RB04-F02N;2824,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-F02N - larghezza 185 cm (73"") - altezza 150 cm";
RB04-F03N;2865,90;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-F03N - larghezza 200 cm (79"") - altezza 150 cm";
RB04-F04N;2904,85;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-F04N - larghezza 215 cm (85"") - altezza 150 cm";
RB04-F05N;2945,85;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-F05N - larghezza 230 cm (91"") - altezza 150 cm";
RB04-F06N;2984,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Superior;"RB04-F06N - larghezza 245 cm (96"") - altezza 150 cm";
RB05-C03C;2320,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-C03C - larghezza 170 cm (67"") - altezza 120 cm";
RB05-C04C;2343,15;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-C04C - larghezza 185 cm (73"") - altezza 120 cm";
RB05-C06C;2363,65;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-C06C - larghezza 200 cm (79"") - altezza 120 cm";
RB05-C07C;2388,25;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-C07C - larghezza 215 cm (85"") - altezza 120 cm";
RB05-C08C;2408,75;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-C08C - larghezza 230 cm (91"") - altezza 120 cm";
RB05-C09C;2435,40;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-C09C - larghezza 245 cm (96"") - altezza 120 cm";
RB05-D03C;2320,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-D03C - larghezza 170 cm (67"") - altezza 130 cm";
RB05-D04C;2343,15;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-D04C - larghezza 185 cm (73"") - altezza 130 cm";
RB05-D06C;2363,65;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-D06C - larghezza 200 cm (79"") - altezza 130 cm";
RB05-D07C;2388,25;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-D07C - larghezza 215 cm (85"") - altezza 130 cm";
RB05-D08C;2408,75;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-D08C - larghezza 230 cm (91"") - altezza 130 cm";
RB05-D09C;2435,40;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-D09C - larghezza 245 cm (96"") - altezza 130 cm";
RB05-F01C;2320,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-F01C - larghezza 170 cm (67"") - altezza 150 cm";
RB05-F02C;2343,15;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-F02C - larghezza 185 cm (73"") - altezza 150 cm";
RB05-F03C;2363,65;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-F03C - larghezza 200 cm (79"") - altezza 150 cm";
RB05-F04C;2388,25;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-F04C - larghezza 215 cm (85"") - altezza 150 cm";
RB05-F05C;2408,75;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-F05C - larghezza 230 cm (91"") - altezza 150 cm";
RB05-F06C;2435,40;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Front Superior;"RB05-F06C - larghezza 245 cm (96"") - altezza 150 cm";
RB06-D01C;1984,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.12;rollbar;Excellent;"RB06-D01C - larghezza 145 cm (57"")";
RB06-D02C;1998,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.12;rollbar;Excellent;"RB06-D02C - larghezza 155 cm (61"")";
RB06-D03C;2012,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.12;rollbar;Excellent;"RB06-D03C - larghezza 170 cm (67"")";
RB06-D05C;2026,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.12;rollbar;Excellent;"RB06-D05C - larghezza 190 cm (75"")";
RB07-E02F;2233,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange;"RB07-E02F - larghezza 170 cm (67"")";
RB07-E03F;2268,20;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange;"RB07-E03F - larghezza 185 cm (73"")";
RB07-E04F;2305,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange;"RB07-E04F - larghezza 200 cm (79"")";
RB07-E05F;2343,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange;"RB07-E05F - larghezza 215 cm (85"")";
RB07-E06F;2380,40;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange;"RB07-E06F - larghezza 230 cm (91"")";
RB07-E07F;2417,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange;"RB07-E07F - larghezza 245 cm (96"")";
RB08-C01E;479,59;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Jolly;"RB08-C01E - larghezza 145 cm (60"")";
RB08-C02E;491,64;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Jolly;"RB08-C02E - larghezza 155 cm (61"")";
RB08-C03E;503,69;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Jolly;"RB08-C03E - larghezza 170 cm (67"")";
RB08-C05E;518,15;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Jolly;"RB08-C05E - larghezza 190 cm (75"")";
RB09-E02K;2316,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL;"RB09-E02K - larghezza 170 cm (67"")";
RB09-E03K;2360,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL;"RB09-E03K - larghezza 185 cm (73"")";
RB09-E04K;2402,40;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL;"RB09-E04K - larghezza 200 cm (79"")";
RB09-E05K;2446,40;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL;"RB09-E05K - larghezza 215 cm (85"")";
RB09-E06K;2488,20;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL;"RB09-E06K - larghezza 230 cm (91"")";
RB09-E07K;2532,20;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL;"RB09-E07K - larghezza 245 cm (96"")";
RB20-D03L;2990,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.10;rollbar;Epic Black;"RB20-D03L - larghezza 170 cm (67"")";
RB20-D04L;3020,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.10;rollbar;Epic Black;"RB20-D04L - larghezza 185 cm (73"")";
RB20-D06L;3050,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.10;rollbar;Epic Black;"RB20-D06L - larghezza 200 cm (79"")";
RB20-D07L;3080,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.10;rollbar;Epic Black;"RB20-D07L - larghezza 215 cm (85"")";
RB20-D08L;3100,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.10;rollbar;Epic Black;"RB20-D08L - larghezza 230 cm (91"")";
RB20-D09L;3130,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.10;rollbar;Epic Black;"RB20-D09L - larghezza 245 cm (96"")";
RB21-D03L;3146,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Epic Inox;"RB21-D03L - larghezza 170 cm (67"")";
RB21-D04L;3174,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Epic Inox;"RB21-D04L - larghezza 185 cm (73"")";
RB21-D06L;3203,20;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Epic Inox;"RB21-D06L - larghezza 200 cm (79"")";
RB21-D07L;3231,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Epic Inox;"RB21-D07L - larghezza 215 cm (85"")";
RB21-D08L;3289,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Epic Inox;"RB21-D08L - larghezza 230 cm (91"")";
RB21-D09L;3317,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Epic Inox;"RB21-D09L - larghezza 245 cm (96"")";
RB22-D03C;2774,20;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Wave Inox;"RB22-D03C - larghezza 170 cm (67"")";
RB22-D04C;2802,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Wave Inox;"RB22-D04C - larghezza 185 cm (73"")";
RB22-D06C;2831,40;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Wave Inox;"RB22-D06C - larghezza 200 cm (79"")";
RB22-D07C;2860,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Wave Inox;"RB22-D07C - larghezza 215 cm (85"")";
RB22-D08C;2888,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Wave Inox;"RB22-D08C - larghezza 230 cm (91"")";
RB22-D09C;2917,20;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Wave Inox;"RB22-D09C - larghezza 245 cm (96"")";
RB23-D03C;2650,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.11;rollbar;Wave Black;"RB23-D03C - larghezza 170 cm (67"")";
RB23-D04C;2680,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.11;rollbar;Wave Black;"RB23-D04C - larghezza 185 cm (73"")";
RB23-D06C;2710,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.11;rollbar;Wave Black;"RB23-D06C - larghezza 200 cm (79"")";
RB23-D07C;2740,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.11;rollbar;Wave Black;"RB23-D07C - larghezza 215 cm (85"")";
RB23-D08C;2770,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.11;rollbar;Wave Black;"RB23-D08C - larghezza 230 cm (91"")";
RB23-D09C;2800,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.11;rollbar;Wave Black;"RB23-D09C - larghezza 245 cm (96"")";
RB25-E02F;2002,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange Black;"RB25-E02F - larghezza 170 cm (67"")";
RB25-E03F;2046,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange Black;"RB25-E03F - larghezza 185 cm (73"")";
RB25-E04F;2087,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange Black;"RB25-E04F - larghezza 200 cm (79"")";
RB25-E05F;2131,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange Black;"RB25-E05F - larghezza 215 cm (85"")";
RB25-E06F;2173,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange Black;"RB25-E06F - larghezza 230 cm (91"")";
RB25-E07F;2217,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange Black;"RB25-E07F - larghezza 245 cm (96"")";
RB26-E02K;2017,40;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL Black;"RB26-E02K - larghezza 170 cm (67"")";
RB26-E03K;2057,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL Black;"RB26-E03K - larghezza 185 cm (73"")";
RB26-E04K;2096,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL Black;"RB26-E04K - larghezza 200 cm (79"")";
RB26-E05K;2136,20;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL Black;"RB26-E05K - larghezza 215 cm (85"")";
RB26-E06K;2175,80;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL Black;"RB26-E06K - larghezza 230 cm (91"")";
RB26-E07K;2217,60;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;rollbar;Strange XL Black;"RB26-E07K - larghezza 245 cm (96"")";
TB01-001;0,04;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi acciaio inox;20 mm - spessore 1.0 mm;
TB01-002;0,05;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi acciaio inox;22 mm - spessore 1.2 mm;
TB01-003;21,31;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi acciaio inox;25 mm - spessore 1.2 mm;
TB01-004;0,06;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi acciaio inox;25 mm - spessore 1.5 mm;
TB01-005;34,26;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi acciaio inox;30 mm - spessore 1.5 mm;
TB01-008;39,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi acciaio inox;40 mm - spessore 1.5 mm;
TB01-012;;rimandato;;tubi;Tubi in acciaio inox;TB01-012 - 40 mm | 1,857” 1.5 mm | 0,06” DESCRIZIONE | DESCRIPTION I tubi proposti da Nettuno Marine;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
TB01-013;;rimandato;;tubi;Tubi in acciaio inox;TB01-013 - 25 mm | 0,98” 1.5 mm | 0,06”  40 mm | 1,857” 1.5 mm | 0,06” DESCRIZIONE | DESCRIPTION I tu;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
TB01-014;;rimandato;;tubi;Tubi in acciaio inox;TB01-014 - 25 mm | 0,98” 1.2 mm | 0,05”  25 mm | 0,98” 1.5 mm | 0,06”  40 mm | 1,857” 1.5 mm | 0,06”;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
TB02-001;0,06;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi in alluminio;TB02-001 - 20 mm | 0,79” 1.5 mm | 0,06”  22 mm | 0,87” 1.5 mm | 0,06”  25 mm | 0,98” 1.5 mm | 0,06” V;
TB02-002;9,84;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi in alluminio;TB02-002 - 22 mm | 0,87” 1.5 mm | 0,06”  25 mm | 0,98” 1.5 mm | 0,06” VERNICIATI A POLVERE BIANCO POW;
TB02-003;8,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.24;tubi;Tubi in alluminio;TB02-003 - 25 mm | 0,98” 1.5 mm | 0,06” VERNICIATI A POLVERE BIANCO POWDER COATED WHITE FI NITURA GRE;
TB02-004;;rimandato;;tubi;Tubi in alluminio;TB02-004 - 50 mm | 1,9” 3.0 mm | 0,11” DESCRIZIONE | DESCRIPTION I tubi in alluminio sono composti da;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
TB02-005;;rimandato;;tubi;Tubi in alluminio;TB02-005 - 35 mm | 1,3” 2.0 mm | 0,07”  50 mm | 1,9” 3.0 mm | 0,11” DESCRIZIONE | DESCRIPTION I tubi;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
TE01-E07L;2418,40;prezzo_definitivo;NETTUNO Price List 2025.pdf p.4;bimini;Exclusive;"TE01-E07L - larghezza 245 cm (96"") - altezza 140 cm";
TE01-E08L;2432,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.4;bimini;Exclusive;"TE01-E08L - larghezza 260 cm (102"") - altezza 140 cm";
TE01-E09L;2487,40;prezzo_definitivo;NETTUNO Price List 2025.pdf p.4;bimini;Exclusive;"TE01-E09L - larghezza 275 cm (108"") - altezza 140 cm";
TE01-E10L;2507,40;prezzo_definitivo;NETTUNO Price List 2025.pdf p.4;bimini;Exclusive;"TE01-E10L - larghezza 290 cm (114"") - altezza 140 cm";
TE01-E11L;2564,70;prezzo_definitivo;NETTUNO Price List 2025.pdf p.4;bimini;Exclusive;"TE01-E11L - larghezza 305 cm (120"") - altezza 140 cm";
TE01-E12L;2609,40;prezzo_definitivo;NETTUNO Price List 2025.pdf p.4;bimini;Exclusive;"TE01-E12L - larghezza 320 cm (126"") - altezza 140 cm";
TE01-E13L;2655,50;prezzo_definitivo;NETTUNO Price List 2025.pdf p.4;bimini;Exclusive;"TE01-E13L - larghezza 335 cm (132"") - altezza 140 cm";
